"","site","Gatun_dist","Cano_Quebrado_dist","Trinidad_dist","Ciri_Grande_dist","min_dist","dummy","mean","year","percentage","Oceangoing","Ciri_Grande_max","Trinidad_max","Cano_Quebrado_max","Gatun_max","Ciri_Grande_min","Trinidad_min","Cano_Quebrado_min","Gatun_min","Ciri_Grande_range","Trinidad_range","Cano_Quebrado_range","Gatun_range"
"185","BCI",13614.4365716764,15252.8150983876,19186.3848092991,25216.3342469678,10988.875,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"186","DC1",19028.3808434717,16678.663815354,30779.6562958475,39640.837798094,21509.056,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"187","DC1",19028.3808434717,16678.663815354,30779.6562958475,39640.837798094,21509.056,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"188","ESC",23426.0581320076,18807.0372303987,13702.138906408,16418.2431695599,14719.139,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"189","ESC",23426.0581320076,18807.0372303987,13702.138906408,16418.2431695599,14719.139,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"190","HUM",35937.6716455615,23842.6369092347,10413.3794279523,4785.59435961722,27124.664,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"191","HUM",35937.6716455615,23842.6369092347,10413.3794279523,4785.59435961722,27124.664,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"192","LAT",24343.6003652747,358.105997715729,14859.7180488225,23984.9251634188,26352.156,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"193","LAT",24343.6003652747,358.105997715729,14859.7180488225,23984.9251634188,26352.156,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"194","MLR",7910.90187426184,23246.4106456374,27738.1044379479,32828.5702651639,5954.871,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"195","MLR",7910.90187426184,23246.4106456374,27738.1044379479,32828.5702651639,5954.871,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"196","RAI",28922.5675863019,18315.8697676524,8411.76233678177,10127.8592118374,21113.423,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"197","RAI",28922.5675863019,18315.8697676524,8411.76233678177,10127.8592118374,21113.423,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"198","TME",24216.5906242848,894.404151153207,13778.891177105,22874.8573122282,25613.735,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"199","TME",24216.5906242848,894.404151153207,13778.891177105,22874.8573122282,25613.735,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"200","TMH",9743.71597206114,24421.3624924082,27847.154645502,32402.0103248981,3912.728,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"201","TMH",9743.71597206114,24421.3624924082,27847.154645502,32402.0103248981,3912.728,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"202","TMR",31742.9503478206,22590.9018621568,36780.0814274588,45937.8004285664,8771.424,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"203","TMR",31742.9503478206,22590.9018621568,36780.0814274588,45937.8004285664,8771.424,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"204","M2",35250.9072610082,25953.7087142782,39935.0883824051,49065.6350691072,5232.743,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"205","M2",35250.9072610082,25953.7087142782,39935.0883824051,49065.6350691072,5232.743,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"206","M5",33941.9830761875,24698.2645427892,38758.1266695193,47900.7831866536,6519.77,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"207","M5",33941.9830761875,24698.2645427892,38758.1266695193,47900.7831866536,6519.77,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"208","M12",33591.3561179688,24584.0846359102,38686.9480451806,47834.8959473604,6872.343,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
