"","site","depth","date","data","delta"
"771","DCH","Shallow",2007-07-24,0.06,0.03
"772","DCH","Shallow",2007-08-28,0.03,-0.03
"773","DCH","Shallow",2007-09-25,0.03,0
"774","DCH","Shallow",2007-10-16,0.04,0.01
"775","DCH","Shallow",2007-11-13,0.04,0
"776","DCH","Shallow",2007-12-11,0.05,0.01
"789","ERP","Shallow",2007-01-23,0.04,0.04
"790","ERP","Shallow",2007-02-07,0.06,0.02
"791","ERP","Shallow",2007-03-20,0.06,0
"792","ERP","Shallow",2007-04-26,0.04,-0.02
"793","ERP","Shallow",2007-05-22,0.04,0
"794","ERP","Shallow",2007-06-28,0.05,0.01
"795","ERP","Shallow",2007-07-24,0.06,0.01
"796","ERP","Shallow",2007-08-28,0.04,-0.02
"797","ERP","Shallow",2007-09-25,0.04,0
"798","ERP","Shallow",2007-10-16,0.05,0.01
"799","ERP","Shallow",2007-11-13,0.04,-0.01
"800","ERP","Shallow",2007-12-11,0.05,0.01
"813","PNP","Shallow",2007-01-23,0.04,0.04
"814","PNP","Shallow",2007-02-07,0.05,0.01
"815","PNP","Shallow",2007-03-20,0.04,-0.01
"816","PNP","Shallow",2007-04-26,0.05,0.01
"817","PNP","Shallow",2007-05-22,0.05,0
"818","PNP","Shallow",2007-06-28,0.05,0
"819","PNP","Shallow",2007-07-24,0.06,0.01
"820","PNP","Shallow",2007-08-28,0.03,-0.03
"821","PNP","Shallow",2007-09-25,0.03,0
"822","PNP","Shallow",2007-10-16,0.05,0.02
"823","PNP","Shallow",2007-11-13,0.04,-0.01
"824","PNP","Shallow",2007-12-11,0.05,0.01
"837","TAG","Shallow",2007-01-23,0.04,0.04
"838","TAG","Shallow",2007-02-07,0.05,0.01
"839","TAG","Shallow",2007-03-20,0.04,-0.01
"840","TAG","Shallow",2007-04-26,0.06,0.02
"841","TAG","Shallow",2007-05-22,0.05,-0.01
"842","TAG","Shallow",2007-06-28,0.05,0
"843","TAG","Shallow",2007-07-24,0.06,0.01
"844","TAG","Shallow",2007-08-28,0.03,-0.03
"845","TAG","Shallow",2007-09-25,0.03,0
"846","TAG","Shallow",2007-10-16,0.04,0.01
"847","TAG","Shallow",2007-11-13,0.04,0
"848","TAG","Shallow",2007-12-11,0.05,0.01
"884","ARN","Shallow",2003-01-22,0.04,0
"886","ARN","Shallow",2003-04-28,0,-0.04
"887","ARN","Shallow",2003-05-28,0,0
